"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 26 16:16:50 GMT 2021","Tue Oct 26 16:16:50 GMT 2021","379","","behave","","","","toggle off switch",""
"passed","Tue Oct 26 16:17:10 GMT 2021","Tue Oct 26 16:17:11 GMT 2021","397","","behave","","","","set climate temperature",""
"passed","Tue Oct 26 16:16:46 GMT 2021","Tue Oct 26 16:16:46 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_six","Test regex parsing user inputted url as ip v4 address"
"passed","Tue Oct 26 16:17:09 GMT 2021","Tue Oct 26 16:17:10 GMT 2021","996","","behave","","","","tracker",""
"passed","Tue Oct 26 16:17:00 GMT 2021","Tue Oct 26 16:17:00 GMT 2021","337","","behave","","","","set light brightness",""
"passed","Tue Oct 26 16:16:51 GMT 2021","Tue Oct 26 16:16:59 GMT 2021","8621","","behave","","","","turn off switch",""
"passed","Tue Oct 26 16:16:49 GMT 2021","Tue Oct 26 16:16:50 GMT 2021","380","","behave","","","","turn on switch",""
"passed","Tue Oct 26 16:16:46 GMT 2021","Tue Oct 26 16:16:46 GMT 2021","24","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Tue Oct 26 16:17:02 GMT 2021","Tue Oct 26 16:17:03 GMT 2021","1011","","behave","","","","turn off light",""
"passed","Tue Oct 26 16:16:46 GMT 2021","Tue Oct 26 16:16:46 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Tue Oct 26 16:17:00 GMT 2021","Tue Oct 26 16:17:01 GMT 2021","632","","behave","","","","increase light brightness",""
"passed","Tue Oct 26 16:17:03 GMT 2021","Tue Oct 26 16:17:09 GMT 2021","6639","","behave","","","","triger automation",""
"passed","Tue Oct 26 16:16:59 GMT 2021","Tue Oct 26 16:17:00 GMT 2021","746","","behave","","","","turn on light",""
"passed","Tue Oct 26 16:16:50 GMT 2021","Tue Oct 26 16:16:51 GMT 2021","638","","behave","","","","toggle on switch",""
"passed","Tue Oct 26 16:16:46 GMT 2021","Tue Oct 26 16:16:46 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Tue Oct 26 16:16:46 GMT 2021","Tue Oct 26 16:16:46 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Tue Oct 26 16:16:48 GMT 2021","Tue Oct 26 16:16:49 GMT 2021","883","","behave","","","","read sensor",""
"passed","Tue Oct 26 16:17:11 GMT 2021","Tue Oct 26 16:17:11 GMT 2021","635","","behave","","","","add item",""
"passed","Tue Oct 26 16:16:46 GMT 2021","Tue Oct 26 16:16:46 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Tue Oct 26 16:17:01 GMT 2021","Tue Oct 26 16:17:02 GMT 2021","393","","behave","","","","decrease light brightness",""
"passed","Tue Oct 26 16:16:46 GMT 2021","Tue Oct 26 16:16:46 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Tue Oct 26 16:16:46 GMT 2021","Tue Oct 26 16:16:46 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_four","Test regex parsing user inputted url as ip v4 address"
